Date,Close
2015-03-02,68.61
2015-03-03,67.82
2015-03-04,67.11
2015-03-05,66.81
2015-03-06,64.87
2015-03-07,63.66
2015-03-08,62.15
2015-03-09,62.88
2015-03-10,64.05
2015-03-11,62.63
2015-03-12,60.28
2015-03-13,59.79
2015-03-14,60.45
2015-03-15,60.74
2015-03-16,61.19
2015-03-17,60.71
2015-03-18,62.61
2015-03-19,60.25
2015-03-20,59.75
2015-03-21,59.25
2015-03-22,60.37
2015-03-23,59.53
2015-03-24,59.02
2015-03-25,59.15
2015-03-26,60.33
2015-03-27,60.49
2015-03-28,63.05
2015-03-29,62.79
2015-03-30,64.94
2015-03-31,67.81
2015-04-01,68.39
2015-04-02,67.92
2015-04-03,80.29
2015-04-04,81.65
2015-04-05,81.06
2015-04-06,80.06
2015-04-07,79.67
2015-04-08,79.87
2015-04-09,79.77
2015-04-10,80.87
2015-04-11,80.44
2015-04-12,80.41
2015-04-13,79.5
2015-04-14,79.58
2015-04-15,79.27
2015-04-16,80.79
2015-04-17,80.08
2015-04-18,80.75
2015-04-19,82.09
2015-04-20,84.28
2015-04-21,83.38
2015-04-22,82.87
2015-04-23,83.84
2015-04-24,87.61
2015-04-25,88.27
2015-04-26,88.07
2015-04-27,88.79
2015-04-28,89
2015-04-29,88.84
2015-04-30,87.99
2015-05-01,89.86
2015-05-02,89.51
2015-05-03,89.15
2015-05-04,89
2015-05-05,89.13
2015-05-06,88.81
2015-05-07,89.35
2015-05-08,90.46
2015-05-09,89.6
2015-05-10,92.45
2015-05-11,95.87
2015-05-12,95.09
2015-05-13,94.42
2015-05-14,93.43
2015-05-15,95.27
2015-05-16,94.27
2015-05-17,94.74
2015-05-18,93.87
2015-05-19,96.41
2015-05-20,97.31
2015-05-21,96.94
2015-05-22,94.89
2015-05-23,93.09
2015-05-24,92.23
2015-05-25,93.85
2015-05-26,93.64
2015-05-27,94.04
2015-05-28,94.57
2015-05-29,94.09
2015-05-30,93.51
2015-05-31,95.73
2015-06-01,97.23
2015-06-02,101.09
2015-06-03,100.37
2015-06-04,98.13
2015-06-05,115.81
2015-06-06,114.77
2015-06-07,110.55
2015-06-08,112.51
2015-06-09,111.5
2015-06-10,110.1
2015-06-11,109.34
2015-06-12,106.43
2015-06-13,106.9
2015-06-14,107.08
2015-06-15,111.56
2015-06-16,114.31
2015-06-17,112.56
2015-06-18,121.15
2015-06-19,123.71
2015-06-20,126.45
2015-06-21,123.52
2015-06-22,123.03
2015-06-23,122.74
2015-06-24,120.51
2015-06-25,123.73
2015-06-26,123.39
2015-06-27,125.36
2015-06-28,124.05
2015-06-29,122.06
2015-06-30,112.49
2015-07-01,103.96
2015-07-02,96.88
2015-07-03,101.52
2015-07-04,110.13
2015-07-05,117.66
2015-07-06,117.63
2015-07-07,115.03
2015-07-08,105.79
2015-07-09,105.44
2015-07-10,101.06
2015-07-11,98.79
2015-07-12,94.95
2015-07-13,99.18
2015-07-14,99.48
2015-07-15,97.51
2015-07-16,95.69
2015-07-17,99.16
2015-07-18,104.08
2015-07-19,104.21
2015-07-20,102.62
2015-07-21,100.3
2015-07-22,98.47
2015-07-23,98.07
2015-07-24,103.76
2015-07-25,102.24
2015-07-26,99.47
2015-07-27,98.35
2015-07-28,103.26
2015-07-29,105.98
2015-07-30,106.11
2015-07-31,111.25
2015-08-01,108.33
2015-08-02,108.1
2015-08-03,114.93
2015-08-04,113.33
2015-08-05,113.45
2015-08-06,109.73
2015-08-07,110.23
2015-08-08,101.09
2015-08-09,98.99
2015-08-10,101.69
2015-08-11,98.99
2015-08-12,97.96
2015-08-13,97.32
2015-08-14,100.04
2015-08-15,103.04
2015-08-16,103.07
2015-08-17,105.8
2015-08-18,105.12
2015-08-19,108.38
2015-08-20,107.64
2015-08-21,109.74
2015-08-22,114.05
2015-08-23,113.5
2015-08-24,114.06
2015-08-25,109.86
2015-08-26,112.7
2015-08-27,112.86
2015-08-28,108.92
2015-08-29,103.65
2015-08-30,111.35
2015-08-31,117.1
2015-09-01,120.63
2015-09-02,120.22
2015-09-03,123.84
2015-09-04,125.03
2015-09-05,123.31
2015-09-06,124.16
2015-09-07,125.44
2015-09-08,123.33
2015-09-09,125.37
2015-09-10,128.93
2015-09-11,126.81
2015-09-12,130.93
2015-09-13,125.36
2015-09-14,126.98
2015-09-15,124.2
2015-09-16,122.91
2015-09-17,118.91
2015-09-18,120.67
2015-09-19,118.6
2015-09-20,122.64
2015-09-21,122.51
2015-09-22,118.02
2015-09-23,116.63
2015-09-24,116.24
2015-09-25,118.16
2015-09-26,117.33
2015-09-27,117.11
2015-09-28,119.12
2015-09-29,116.71
2015-09-30,114.38
2015-10-01,109.96
2015-10-02,107.66
2015-10-03,117.68
2015-10-04,114.56
2015-10-05,111.39
2015-10-06,114.97
2015-10-07,116.58
2015-10-08,106.56
2015-10-09,107.06
2015-10-10,104.04
2015-10-11,107.89
2015-10-12,107.74
2015-10-13,102.35
2015-10-14,100.72
2015-10-15,99.12
2015-10-16,97.83
2015-10-17,91.15
